121   215   
72    144   
135   230   
220   285   
146   240   
65    97    
256   323   
180   242   
63    120   
296   358   
72    146   
165   227   
118   139   
276   366   
262   354   
91    103   
167   207   
242   339   
205   282   
286   359   
296   383   
135   153   
260   327   
231   301   
86    121   
264   301   
209   297   
223   291   
153   208   
103   146   
95    139   
298   389   
128   147   
191   272   
292   376   
59    81    
235   294   
82    175   
294   387   
75    115   
202   290   
212   312   
256   351   
52    106   
121   138   
90    186   
68    106   
220   267   
284   362   
81    115   
300   344   
152   213   
211   255   
252   331   
253   308   
107   175   
162   246   
230   281   
139   149   
103   202   
117   167   
87    177   
263   355   
233   260   
140   212   
127   196   
58    99    
236   273   
88    149   
72    166   
253   266   
74    89    
175   185   
207   262   
190   245   
170   259   
67    156   
221   244   
267   312   
150   248   
216   238   
241   327   
199   278   
192   270   
247   295   
80    109   
176   222   
53    150   
106   160   
150   183   
278   373   
51    104   
111   162   
248   321   
165   181   
65    164   
152   191   
189   219   
72    88    
65    130   
